# Format: variable_name|english_label|description|english_description
# WRF variable information generated from adapter metadata.

HFX_FORCE|SCM ideal surface sensible heat flux|WRF model output variable HFX_FORCE. Units: W m-2. Dimensions: Time.|SCM ideal surface sensible heat flux
LH_FORCE|SCM ideal surface latent heat flux|WRF model output variable LH_FORCE. Units: W m-2. Dimensions: Time.|SCM ideal surface latent heat flux
TSK_FORCE|SCM ideal surface skin temperature|WRF model output variable TSK_FORCE. Units: W m-2. Dimensions: Time.|SCM ideal surface skin temperature
HFX_FORCE_TEND|SCM ideal surface sensible heat flux tendency|WRF model output variable HFX_FORCE_TEND. Units: W m-2 s-1. Dimensions: Time.|SCM ideal surface sensible heat flux tendency
LH_FORCE_TEND|SCM ideal surface latent heat flux tendency|WRF model output variable LH_FORCE_TEND. Units: W m-2 s-1. Dimensions: Time.|SCM ideal surface latent heat flux tendency
TSK_FORCE_TEND|SCM ideal surface skin temperature tendency|WRF model output variable TSK_FORCE_TEND. Units: W m-2 s-1. Dimensions: Time.|SCM ideal surface skin temperature tendency
MU|perturbation dry air mass in column|WRF model output variable MU. Units: Pa. Dimensions: Time, south_north, west_east.|perturbation dry air mass in column
MUB|base state dry air mass in column|WRF model output variable MUB. Units: Pa. Dimensions: Time, south_north, west_east.|base state dry air mass in column
NEST_POS|-|WRF model output variable NEST_POS. Units: -. Dimensions: Time, south_north, west_east.|-
P|perturbation pressure|WRF model output variable P. Units: Pa. Dimensions: Time, bottom_top, south_north, west_east.|perturbation pressure
PB|BASE STATE PRESSURE|WRF model output variable PB. Units: Pa. Dimensions: Time, bottom_top, south_north, west_east.|BASE STATE PRESSURE
FNM|upper weight for vertical stretching|WRF model output variable FNM. Units: unknown. Dimensions: Time, bottom_top.|upper weight for vertical stretching
FNP|lower weight for vertical stretching|WRF model output variable FNP. Units: unknown. Dimensions: Time, bottom_top.|lower weight for vertical stretching
RDNW|inverse d(eta) values between full (w) levels|WRF model output variable RDNW. Units: unknown. Dimensions: Time, bottom_top.|inverse d(eta) values between full (w) levels
RDN|inverse d(eta) values between half (mass) levels|WRF model output variable RDN. Units: unknown. Dimensions: Time, bottom_top.|inverse d(eta) values between half (mass) levels
DNW|d(eta) values between full (w) levels|WRF model output variable DNW. Units: unknown. Dimensions: Time, bottom_top.|d(eta) values between full (w) levels
DN|d(eta) values between half (mass) levels|WRF model output variable DN. Units: unknown. Dimensions: Time, bottom_top.|d(eta) values between half (mass) levels
CFN|extrapolation constant|WRF model output variable CFN. Units: unknown. Dimensions: Time.|extrapolation constant
CFN1|extrapolation constant|WRF model output variable CFN1. Units: unknown. Dimensions: Time.|extrapolation constant
THIS_IS_AN_IDEAL_RUN|T/F flag: this is an ARW ideal simulation|WRF model output variable THIS_IS_AN_IDEAL_RUN. Units: -. Dimensions: Time.|T/F flag: this is an ARW ideal simulation
P_HYD|hydrostatic pressure|WRF model output variable P_HYD. Units: Pa. Dimensions: Time, bottom_top, south_north, west_east.|hydrostatic pressure
Q2|QV at 2 M|WRF model output variable Q2. Units: kg kg-1. Dimensions: Time, south_north, west_east.|QV at 2 M
T2|2 metre temperature|Air temperature at 2 metres above the surface.|Air temperature at about 2 metres above the surface, describing near-surface thermal conditions.
TH2|POT TEMP at 2 M|WRF model output variable TH2. Units: K. Dimensions: Time, south_north, west_east.|POT TEMP at 2 M
PSFC|Surface pressure|Atmospheric pressure near the model surface.|Surface pressure, representing atmospheric pressure near the model surface.
U10|10 metre U wind component|East-west wind component at 10 metres above the surface.|East-west wind component at 10 metres above the surface; positive values usually indicate eastward flow.
V10|10 metre V wind component|North-south wind component at 10 metres above the surface.|North-south wind component at 10 metres above the surface; positive values usually indicate northward flow.
RDX|INVERSE X GRID LENGTH|WRF model output variable RDX. Units: m-1. Dimensions: Time.|INVERSE X GRID LENGTH
RDY|INVERSE Y GRID LENGTH|WRF model output variable RDY. Units: m-1. Dimensions: Time.|INVERSE Y GRID LENGTH
AREA2D|Horizontal grid cell area, using dx, dy, and map factors|WRF model output variable AREA2D. Units: m2. Dimensions: Time, south_north, west_east.|Horizontal grid cell area, using dx, dy, and map factors
DX2D|Horizontal grid distance: sqrt(area2d)|WRF model output variable DX2D. Units: m. Dimensions: Time, south_north, west_east.|Horizontal grid distance: sqrt(area2d)
RESM|TIME WEIGHT CONSTANT FOR SMALL STEPS|WRF model output variable RESM. Units: unknown. Dimensions: Time.|TIME WEIGHT CONSTANT FOR SMALL STEPS
ZETATOP|ZETA AT MODEL TOP|WRF model output variable ZETATOP. Units: unknown. Dimensions: Time.|ZETA AT MODEL TOP
CF1|2nd order extrapolation constant|WRF model output variable CF1. Units: unknown. Dimensions: Time.|2nd order extrapolation constant
CF2|2nd order extrapolation constant|WRF model output variable CF2. Units: unknown. Dimensions: Time.|2nd order extrapolation constant
CF3|2nd order extrapolation constant|WRF model output variable CF3. Units: unknown. Dimensions: Time.|2nd order extrapolation constant
ITIMESTEP|ITIMESTEP|WRF model output variable ITIMESTEP. Units: unknown. Dimensions: Time.|WRF model output variable ITIMESTEP.
XTIME|minutes since 2025-07-16 00:00:00|WRF model output variable XTIME. Units: minutes since 2025-07-16 00:00:00. Dimensions: Time.|minutes since 2025-07-16 00:00:00
QVAPOR|Water vapor mixing ratio|WRF model output variable QVAPOR. Units: kg kg-1. Dimensions: Time, bottom_top, south_north, west_east.|Water vapor mixing ratio
QCLOUD|Cloud water mixing ratio|WRF model output variable QCLOUD. Units: kg kg-1. Dimensions: Time, bottom_top, south_north, west_east.|Cloud water mixing ratio
QRAIN|Rain water mixing ratio|WRF model output variable QRAIN. Units: kg kg-1. Dimensions: Time, bottom_top, south_north, west_east.|Rain water mixing ratio
QICE|Ice mixing ratio|WRF model output variable QICE. Units: kg kg-1. Dimensions: Time, bottom_top, south_north, west_east.|Ice mixing ratio
QSNOW|Snow mixing ratio|WRF model output variable QSNOW. Units: kg kg-1. Dimensions: Time, bottom_top, south_north, west_east.|Snow mixing ratio
QGRAUP|Graupel mixing ratio|WRF model output variable QGRAUP. Units: kg kg-1. Dimensions: Time, bottom_top, south_north, west_east.|Graupel mixing ratio
QNICE|Ice Number concentration|WRF model output variable QNICE. Units: kg-1. Dimensions: Time, bottom_top, south_north, west_east.|Ice Number concentration
QNRAIN|Rain Number concentration|WRF model output variable QNRAIN. Units: kg(-1). Dimensions: Time, bottom_top, south_north, west_east.|Rain Number concentration
SHDMAX|ANNUAL MAX VEG FRACTION|WRF model output variable SHDMAX. Units: unknown. Dimensions: Time, south_north, west_east.|ANNUAL MAX VEG FRACTION
SHDMIN|ANNUAL MIN VEG FRACTION|WRF model output variable SHDMIN. Units: unknown. Dimensions: Time, south_north, west_east.|ANNUAL MIN VEG FRACTION
SNOALB|ANNUAL MAX SNOW ALBEDO IN FRACTION|WRF model output variable SNOALB. Units: unknown. Dimensions: Time, south_north, west_east.|ANNUAL MAX SNOW ALBEDO IN FRACTION
TSLB|SOIL TEMPERATURE|WRF model output variable TSLB. Units: K. Dimensions: Time, soil_layers_stag, south_north, west_east.|SOIL TEMPERATURE
SMOIS|SOIL MOISTURE|WRF model output variable SMOIS. Units: m3 m-3. Dimensions: Time, soil_layers_stag, south_north, west_east.|SOIL MOISTURE
SH2O|SOIL LIQUID WATER|WRF model output variable SH2O. Units: m3 m-3. Dimensions: Time, soil_layers_stag, south_north, west_east.|SOIL LIQUID WATER
SMCREL|RELATIVE SOIL MOISTURE|WRF model output variable SMCREL. Units: unknown. Dimensions: Time, soil_layers_stag, south_north, west_east.|RELATIVE SOIL MOISTURE
SEAICE|SEA ICE FLAG|WRF model output variable SEAICE. Units: unknown. Dimensions: Time, south_north, west_east.|SEA ICE FLAG
XICEM|SEA ICE FLAG (PREVIOUS STEP)|WRF model output variable XICEM. Units: unknown. Dimensions: Time, south_north, west_east.|SEA ICE FLAG (PREVIOUS STEP)
SFROFF|SURFACE RUNOFF|WRF model output variable SFROFF. Units: mm. Dimensions: Time, south_north, west_east.|SURFACE RUNOFF
UDROFF|UNDERGROUND RUNOFF|WRF model output variable UDROFF. Units: mm. Dimensions: Time, south_north, west_east.|UNDERGROUND RUNOFF
IVGTYP|DOMINANT VEGETATION CATEGORY|WRF model output variable IVGTYP. Units: unknown. Dimensions: Time, south_north, west_east.|DOMINANT VEGETATION CATEGORY
ISLTYP|DOMINANT SOIL CATEGORY|WRF model output variable ISLTYP. Units: unknown. Dimensions: Time, south_north, west_east.|DOMINANT SOIL CATEGORY
VEGFRA|VEGETATION FRACTION|WRF model output variable VEGFRA. Units: unknown. Dimensions: Time, south_north, west_east.|VEGETATION FRACTION
GRDFLX|GROUND HEAT FLUX|WRF model output variable GRDFLX. Units: W m-2. Dimensions: Time, south_north, west_east.|GROUND HEAT FLUX
ACGRDFLX|ACCUMULATED GROUND HEAT FLUX|WRF model output variable ACGRDFLX. Units: J m-2. Dimensions: Time, south_north, west_east.|ACCUMULATED GROUND HEAT FLUX
ACSNOM|ACCUMULATED MELTED SNOW|WRF model output variable ACSNOM. Units: kg m-2. Dimensions: Time, south_north, west_east.|ACCUMULATED MELTED SNOW
SNOW|SNOW WATER EQUIVALENT|WRF model output variable SNOW. Units: kg m-2. Dimensions: Time, south_north, west_east.|SNOW WATER EQUIVALENT
SNOWH|PHYSICAL SNOW DEPTH|WRF model output variable SNOWH. Units: m. Dimensions: Time, south_north, west_east.|PHYSICAL SNOW DEPTH
CANWAT|CANOPY WATER|WRF model output variable CANWAT. Units: kg m-2. Dimensions: Time, south_north, west_east.|CANOPY WATER
SSTSK|SKIN SEA SURFACE TEMPERATURE|WRF model output variable SSTSK. Units: K. Dimensions: Time, south_north, west_east.|SKIN SEA SURFACE TEMPERATURE
WATER_DEPTH|global water depth|WRF model output variable WATER_DEPTH. Units: m. Dimensions: Time, south_north, west_east.|global water depth
COSZEN|COS of SOLAR ZENITH ANGLE|WRF model output variable COSZEN. Units: dimensionless. Dimensions: Time, south_north, west_east.|COS of SOLAR ZENITH ANGLE
LAI|LEAF AREA INDEX|WRF model output variable LAI. Units: m-2/m-2. Dimensions: Time, south_north, west_east.|LEAF AREA INDEX
VAR|STANDARD DEVIATION OF SUBGRID-SCALE OROGRAPHY|WRF model output variable VAR. Units: m. Dimensions: Time, south_north, west_east.|STANDARD DEVIATION OF SUBGRID-SCALE OROGRAPHY
O3_GFS_DU|Total ozone from GFS|WRF model output variable O3_GFS_DU. Units: Dobson Units. Dimensions: Time, south_north, west_east.|Total ozone from GFS
MAPFAC_M|Map scale factor on mass grid|WRF model output variable MAPFAC_M. Units: unknown. Dimensions: Time, south_north, west_east.|Map scale factor on mass grid
MAPFAC_U|Map scale factor on u-grid|WRF model output variable MAPFAC_U. Units: unknown. Dimensions: Time, south_north, west_east_stag.|Map scale factor on u-grid
MAPFAC_V|Map scale factor on v-grid|WRF model output variable MAPFAC_V. Units: unknown. Dimensions: Time, south_north_stag, west_east.|Map scale factor on v-grid
MAPFAC_MX|Map scale factor on mass grid, x direction|WRF model output variable MAPFAC_MX. Units: unknown. Dimensions: Time, south_north, west_east.|Map scale factor on mass grid, x direction
MAPFAC_MY|Map scale factor on mass grid, y direction|WRF model output variable MAPFAC_MY. Units: unknown. Dimensions: Time, south_north, west_east.|Map scale factor on mass grid, y direction
MAPFAC_UX|Map scale factor on u-grid, x direction|WRF model output variable MAPFAC_UX. Units: unknown. Dimensions: Time, south_north, west_east_stag.|Map scale factor on u-grid, x direction
MAPFAC_UY|Map scale factor on u-grid, y direction|WRF model output variable MAPFAC_UY. Units: unknown. Dimensions: Time, south_north, west_east_stag.|Map scale factor on u-grid, y direction
MAPFAC_VX|Map scale factor on v-grid, x direction|WRF model output variable MAPFAC_VX. Units: unknown. Dimensions: Time, south_north_stag, west_east.|Map scale factor on v-grid, x direction
MF_VX_INV|Inverse map scale factor on v-grid, x direction|WRF model output variable MF_VX_INV. Units: unknown. Dimensions: Time, south_north_stag, west_east.|Inverse map scale factor on v-grid, x direction
MAPFAC_VY|Map scale factor on v-grid, y direction|WRF model output variable MAPFAC_VY. Units: unknown. Dimensions: Time, south_north_stag, west_east.|Map scale factor on v-grid, y direction
F|Coriolis sine latitude term|WRF model output variable F. Units: s-1. Dimensions: Time, south_north, west_east.|Coriolis sine latitude term
E|Coriolis cosine latitude term|WRF model output variable E. Units: s-1. Dimensions: Time, south_north, west_east.|Coriolis cosine latitude term
SINALPHA|Local sine of map rotation|WRF model output variable SINALPHA. Units: unknown. Dimensions: Time, south_north, west_east.|Local sine of map rotation
COSALPHA|Local cosine of map rotation|WRF model output variable COSALPHA. Units: unknown. Dimensions: Time, south_north, west_east.|Local cosine of map rotation
HGT|Terrain Height|WRF model output variable HGT. Units: m. Dimensions: Time, south_north, west_east.|Terrain Height
TSK|SURFACE SKIN TEMPERATURE|WRF model output variable TSK. Units: K. Dimensions: Time, south_north, west_east.|SURFACE SKIN TEMPERATURE
P_TOP|PRESSURE TOP OF THE MODEL|WRF model output variable P_TOP. Units: Pa. Dimensions: Time.|PRESSURE TOP OF THE MODEL
GOT_VAR_SSO|whether VAR_SSO was included in WPS output (beginning V3.4)|WRF model output variable GOT_VAR_SSO. Units: unknown. Dimensions: Time.|whether VAR_SSO was included in WPS output (beginning V3.4)
T00|BASE STATE TEMPERATURE|WRF model output variable T00. Units: K. Dimensions: Time.|BASE STATE TEMPERATURE
P00|BASE STATE PRESSURE|WRF model output variable P00. Units: Pa. Dimensions: Time.|BASE STATE PRESSURE
TLP|BASE STATE LAPSE RATE|WRF model output variable TLP. Units: unknown. Dimensions: Time.|BASE STATE LAPSE RATE
TISO|TEMP AT WHICH THE BASE T TURNS CONST|WRF model output variable TISO. Units: K. Dimensions: Time.|TEMP AT WHICH THE BASE T TURNS CONST
TLP_STRAT|BASE STATE LAPSE RATE (DT/D(LN(P)) IN STRATOSPHERE|WRF model output variable TLP_STRAT. Units: K. Dimensions: Time.|BASE STATE LAPSE RATE (DT/D(LN(P)) IN STRATOSPHERE
P_STRAT|BASE STATE PRESSURE AT BOTTOM OF STRATOSPHERE|WRF model output variable P_STRAT. Units: Pa. Dimensions: Time.|BASE STATE PRESSURE AT BOTTOM OF STRATOSPHERE
MAX_MSFTX|Max map factor in domain|WRF model output variable MAX_MSFTX. Units: unknown. Dimensions: Time.|Max map factor in domain
MAX_MSFTY|Max map factor in domain|WRF model output variable MAX_MSFTY. Units: unknown. Dimensions: Time.|Max map factor in domain
RAINC|Accumulated convective precipitation|Accumulated precipitation produced by convective processes.|Accumulated precipitation produced by convective parameterization processes.
RAINSH|ACCUMULATED SHALLOW CUMULUS PRECIPITATION|WRF model output variable RAINSH. Units: mm. Dimensions: Time, south_north, west_east.|ACCUMULATED SHALLOW CUMULUS PRECIPITATION
RAINNC|Accumulated non-convective precipitation|Accumulated precipitation produced by non-convective cloud microphysics.|Accumulated precipitation produced by non-convective cloud microphysics processes.
SNOWNC|ACCUMULATED TOTAL GRID SCALE SNOW AND ICE|WRF model output variable SNOWNC. Units: mm. Dimensions: Time, south_north, west_east.|ACCUMULATED TOTAL GRID SCALE SNOW AND ICE
GRAUPELNC|ACCUMULATED TOTAL GRID SCALE GRAUPEL|WRF model output variable GRAUPELNC. Units: mm. Dimensions: Time, south_north, west_east.|ACCUMULATED TOTAL GRID SCALE GRAUPEL
HAILNC|ACCUMULATED TOTAL GRID SCALE HAIL|WRF model output variable HAILNC. Units: mm. Dimensions: Time, south_north, west_east.|ACCUMULATED TOTAL GRID SCALE HAIL
CLDFRA|CLOUD FRACTION|WRF model output variable CLDFRA. Units: unknown. Dimensions: Time, bottom_top, south_north, west_east.|CLOUD FRACTION
SWDOWN|DOWNWARD SHORT WAVE FLUX AT GROUND SURFACE|WRF model output variable SWDOWN. Units: W m-2. Dimensions: Time, south_north, west_east.|DOWNWARD SHORT WAVE FLUX AT GROUND SURFACE
GLW|DOWNWARD LONG WAVE FLUX AT GROUND SURFACE|WRF model output variable GLW. Units: W m-2. Dimensions: Time, south_north, west_east.|DOWNWARD LONG WAVE FLUX AT GROUND SURFACE
SWNORM|NORMAL SHORT WAVE FLUX AT GROUND SURFACE (SLOPE-DEPENDENT)|WRF model output variable SWNORM. Units: W m-2. Dimensions: Time, south_north, west_east.|NORMAL SHORT WAVE FLUX AT GROUND SURFACE (SLOPE-DEPENDENT)
ACSWUPT|ACCUMULATED UPWELLING SHORTWAVE FLUX AT TOP|WRF model output variable ACSWUPT. Units: J m-2. Dimensions: Time, south_north, west_east.|ACCUMULATED UPWELLING SHORTWAVE FLUX AT TOP
ACSWUPTC|ACCUMULATED UPWELLING CLEAR SKY SHORTWAVE FLUX AT TOP|WRF model output variable ACSWUPTC. Units: J m-2. Dimensions: Time, south_north, west_east.|ACCUMULATED UPWELLING CLEAR SKY SHORTWAVE FLUX AT TOP
ACSWDNT|ACCUMULATED DOWNWELLING SHORTWAVE FLUX AT TOP|WRF model output variable ACSWDNT. Units: J m-2. Dimensions: Time, south_north, west_east.|ACCUMULATED DOWNWELLING SHORTWAVE FLUX AT TOP
ACSWDNTC|ACCUMULATED DOWNWELLING CLEAR SKY SHORTWAVE FLUX AT TOP|WRF model output variable ACSWDNTC. Units: J m-2. Dimensions: Time, south_north, west_east.|ACCUMULATED DOWNWELLING CLEAR SKY SHORTWAVE FLUX AT TOP
ACSWUPB|ACCUMULATED UPWELLING SHORTWAVE FLUX AT BOTTOM|WRF model output variable ACSWUPB. Units: J m-2. Dimensions: Time, south_north, west_east.|ACCUMULATED UPWELLING SHORTWAVE FLUX AT BOTTOM
ACSWUPBC|ACCUMULATED UPWELLING CLEAR SKY SHORTWAVE FLUX AT BOTTOM|WRF model output variable ACSWUPBC. Units: J m-2. Dimensions: Time, south_north, west_east.|ACCUMULATED UPWELLING CLEAR SKY SHORTWAVE FLUX AT BOTTOM
ACSWDNB|ACCUMULATED DOWNWELLING SHORTWAVE FLUX AT BOTTOM|WRF model output variable ACSWDNB. Units: J m-2. Dimensions: Time, south_north, west_east.|ACCUMULATED DOWNWELLING SHORTWAVE FLUX AT BOTTOM
ACSWDNBC|ACCUMULATED DOWNWELLING CLEAR SKY SHORTWAVE FLUX AT BOTTOM|WRF model output variable ACSWDNBC. Units: J m-2. Dimensions: Time, south_north, west_east.|ACCUMULATED DOWNWELLING CLEAR SKY SHORTWAVE FLUX AT BOTTOM
ACLWUPT|ACCUMULATED UPWELLING LONGWAVE FLUX AT TOP|WRF model output variable ACLWUPT. Units: J m-2. Dimensions: Time, south_north, west_east.|ACCUMULATED UPWELLING LONGWAVE FLUX AT TOP
ACLWUPTC|ACCUMULATED UPWELLING CLEAR SKY LONGWAVE FLUX AT TOP|WRF model output variable ACLWUPTC. Units: J m-2. Dimensions: Time, south_north, west_east.|ACCUMULATED UPWELLING CLEAR SKY LONGWAVE FLUX AT TOP
ACLWDNT|ACCUMULATED DOWNWELLING LONGWAVE FLUX AT TOP|WRF model output variable ACLWDNT. Units: J m-2. Dimensions: Time, south_north, west_east.|ACCUMULATED DOWNWELLING LONGWAVE FLUX AT TOP
ACLWDNTC|ACCUMULATED DOWNWELLING CLEAR SKY LONGWAVE FLUX AT TOP|WRF model output variable ACLWDNTC. Units: J m-2. Dimensions: Time, south_north, west_east.|ACCUMULATED DOWNWELLING CLEAR SKY LONGWAVE FLUX AT TOP
ACLWUPB|ACCUMULATED UPWELLING LONGWAVE FLUX AT BOTTOM|WRF model output variable ACLWUPB. Units: J m-2. Dimensions: Time, south_north, west_east.|ACCUMULATED UPWELLING LONGWAVE FLUX AT BOTTOM
ACLWUPBC|ACCUMULATED UPWELLING CLEAR SKY LONGWAVE FLUX AT BOTTOM|WRF model output variable ACLWUPBC. Units: J m-2. Dimensions: Time, south_north, west_east.|ACCUMULATED UPWELLING CLEAR SKY LONGWAVE FLUX AT BOTTOM
ACLWDNB|ACCUMULATED DOWNWELLING LONGWAVE FLUX AT BOTTOM|WRF model output variable ACLWDNB. Units: J m-2. Dimensions: Time, south_north, west_east.|ACCUMULATED DOWNWELLING LONGWAVE FLUX AT BOTTOM
ACLWDNBC|ACCUMULATED DOWNWELLING CLEAR SKY LONGWAVE FLUX AT BOTTOM|WRF model output variable ACLWDNBC. Units: J m-2. Dimensions: Time, south_north, west_east.|ACCUMULATED DOWNWELLING CLEAR SKY LONGWAVE FLUX AT BOTTOM
SWUPT|INSTANTANEOUS UPWELLING SHORTWAVE FLUX AT TOP|WRF model output variable SWUPT. Units: W m-2. Dimensions: Time, south_north, west_east.|INSTANTANEOUS UPWELLING SHORTWAVE FLUX AT TOP
SWUPTC|INSTANTANEOUS UPWELLING CLEAR SKY SHORTWAVE FLUX AT TOP|WRF model output variable SWUPTC. Units: W m-2. Dimensions: Time, south_north, west_east.|INSTANTANEOUS UPWELLING CLEAR SKY SHORTWAVE FLUX AT TOP
SWDNT|INSTANTANEOUS DOWNWELLING SHORTWAVE FLUX AT TOP|WRF model output variable SWDNT. Units: W m-2. Dimensions: Time, south_north, west_east.|INSTANTANEOUS DOWNWELLING SHORTWAVE FLUX AT TOP
SWDNTC|INSTANTANEOUS DOWNWELLING CLEAR SKY SHORTWAVE FLUX AT TOP|WRF model output variable SWDNTC. Units: W m-2. Dimensions: Time, south_north, west_east.|INSTANTANEOUS DOWNWELLING CLEAR SKY SHORTWAVE FLUX AT TOP
SWUPB|INSTANTANEOUS UPWELLING SHORTWAVE FLUX AT BOTTOM|WRF model output variable SWUPB. Units: W m-2. Dimensions: Time, south_north, west_east.|INSTANTANEOUS UPWELLING SHORTWAVE FLUX AT BOTTOM
